street_name,long_snode,lat_snode,long_enode,lat_enode
18,106.5374757,10.6812591,106.5402437,10.681695
3 Tháng 2,106.6811565,10.7776498,106.6482993,10.7575536
3 Tháng 2,106.6482993,10.7575536,106.6562075,10.7618422
3 Tháng 2,106.6562075,10.7618422,106.6453021,10.755822
3 Tháng 2,106.6656006,10.7667954,106.6597513,10.7637713
3 Tháng 2,106.6597513,10.7637713,106.6640311,10.7659517
3 Tháng 2,106.6639913,10.766037,106.6494435,10.7580658
3 Tháng 2,106.6494435,10.7580658,106.6734728,10.7711007
3 Tháng 2,106.6734728,10.7711007,106.6665142,10.7674299
3 Tháng 2,106.6665142,10.7674299,106.6639913,10.766037
An Dương Vương,106.6664058,10.7560028,106.6697746,10.7566251
An Dương Vương,106.6697746,10.7566251,106.669461,10.7566534
An Phú Đông,106.6884983,10.8581333,106.688522,10.8580682
An Phú Đông 10,106.6962199,10.8576365,106.6964506,10.8565038
An Phú Đông 3,106.7063222,10.8547157,106.7068791,10.8547574
Bà Hom,106.6313514,10.7546911,106.6311219,10.754722
Bà Huyện Thanh Quan,106.6832444,10.7807155,106.6884634,10.7767699
Bành Văn Trân,106.6569689,10.7904195,106.657746,10.7883571
Bàu Cát,106.6429867,10.7922881,106.6410455,10.7929669
Bình Lợi,106.7053404,10.8315214,106.7054531,10.8311762
Bình Thới,106.6512531,10.7684923,106.6476679,10.7661016
Bình Thới,106.6476679,10.7661016,106.643989,10.7636884
Bình Thới,106.643989,10.7636884,106.6422657,10.7628698
Bình Trị Đông,106.6100165,10.7614144,106.6100099,10.76138
Bùi Hữu Nghĩa,106.6742704,10.7555638,106.6976069,10.7940986
Bùi Thị Xuân,106.6626344,10.7984947,106.6628737,10.7979599
Bưng Ông Thoàn,106.7973612,10.8139216,106.7970824,10.8144883
Bưng Ông Thòan,106.7887386,10.828493,106.7885591,10.8287562
Bạch Đằng,106.6785067,10.8143903,106.710341,10.8029569
Bạch Đằng,106.7101437,10.8029724,106.7048266,10.8033698
Bạch Đằng,106.7048266,10.8033698,106.6656805,10.8139316
Bảy Hiền,106.6516978,10.7894105,106.6518377,10.7897093
Bắc Hải,106.6563416,10.7781305,106.6588525,10.7807392
Bắc Hải,106.658922,10.780807,106.6613755,10.7833862
Bắc Hải,106.6617536,10.7837858,106.6633132,10.7855566
Bến Bình Đông,106.6604156,10.7482848,106.6604156,10.7482848
Bến Cát,106.6568031,10.7852199,106.6568613,10.7851391
Bến Hàm Tử,106.673072,10.7494447,106.6681836,10.7507824
Bến Vân Đồn,106.6937223,10.7584116,106.6918919,10.7573004
Bờ Bao Tân Thắng,106.6216983,10.8073924,106.6186403,10.8012197
Calmette,106.6997404,10.7673072,106.6976851,10.7699124
Cao Thắng,106.678801,10.7729223,106.6802249,10.7716819
Cao Thắng,106.6798441,10.7720072,106.6791758,10.7725943
Cao Xuân Dục,106.6603737,10.7470453,106.6591277,10.746165
Cao tốc TP. Hồ Chí Minh - Long Thành - Dầu Giây,106.8473249,10.7860991,106.843937,10.7866225
Cao tốc TP. Hồ Chí Minh - Long Thành - Dầu Giây,106.843937,10.7866225,106.8358795,10.7883612
Cao tốc TP. Hồ Chí Minh - Long Thành - Dầu Giây,106.8358795,10.7883612,106.8268185,10.790253
Cao tốc TP. Hồ Chí Minh - Long Thành - Dầu Giây,106.8268185,10.790253,106.8178943,10.7918961
Cao tốc TP. Hồ Chí Minh - Long Thành - Dầu Giây,106.8178943,10.7918961,106.8117098,10.792934
Cao tốc TP. Hồ Chí Minh - Long Thành - Dầu Giây,106.8117098,10.792934,106.8052263,10.794041
Cao tốc TP. Hồ Chí Minh - Long Thành - Dầu Giây,106.8052263,10.794041,106.7995037,10.7950193
Cao tốc TP. Hồ Chí Minh - Long Thành - Dầu Giây,106.7995037,10.7950193,106.8557067,10.785892
Cao tốc TP. Hồ Chí Minh - Long Thành - Dầu Giây,106.8630211,10.7862476,106.8547623,10.7859557
Cao tốc TP. Hồ Chí Minh - Long Thành - Dầu Giây,106.8178476,10.7917928,106.8450235,10.786298
Cao tốc TP. Hồ Chí Minh - Long Thành - Dầu Giây,106.7824691,10.7964727,106.7599681,10.7949371
Cao tốc TP. Hồ Chí Minh - Long Thành - Dầu Giây,106.7599681,10.7949371,106.775074,10.7962415
Chu Văn An,106.6960454,10.8113215,106.7048425,10.811203
Châu Văn Liêm,106.6590317,10.7519402,106.6589344,10.7520192
Châu Văn Liêm,106.6587484,10.7529881,106.6584782,10.7537895
Chợ Lớn,106.6255188,10.7444411,106.6258206,10.7444479
Cách Mạng Tháng Tám,106.68085,10.7782417,106.6864011,10.7752936
Cách Mạng Tháng Tám,106.6864011,10.7752936,106.6839026,10.7766471
Cách Mạng Tháng Tám,106.6839026,10.7766471,106.662713,10.7879441
Cách Mạng Tháng Tám,106.6724641,10.7827246,106.6732878,10.7822806
Cây Bàng,106.5920538,10.7187059,106.5920047,10.7189172
Công Trường Dân Chủ,106.6815724,10.7775778,106.6815724,10.7775778
Công Trường Mê Linh,106.7065305,10.7748291,106.7065815,10.7748385
Công Trường Quách Thị Trang,106.6986125,10.7712269,106.6986499,10.7718767
Công Trường Quốc Tế,106.6962159,10.7829947,106.6955259,10.7826997
Công Xã Paris,106.7000845,10.7791557,106.6999777,10.7792456
Cầu 15B,106.7312394,10.7132819,106.7313098,10.7131905
Cầu An Lập,106.602171,10.729901,106.60178,10.7277176
Cầu Bình Lợi,106.7061476,10.8235017,106.7074369,10.8242579
Cầu Bình Lợi,106.7108326,10.8252486,106.706066,10.8239671
Cầu Bình Phú,106.7343846,10.8547733,106.7349099,10.8550441
Cầu Bình Phước 2,106.7150626,10.8607907,106.7155477,10.8612059
Cầu Bình Triệu 1,106.7136257,10.8215874,106.713869,10.8233581
Cầu Bình Triệu 2,106.7135696,10.8235017,106.7129039,10.8190196
Cầu Bông,106.6959206,10.7929272,106.6960125,10.7941308
Cầu Bùi Hữu Nghĩa,106.6974031,10.7930658,106.6976069,10.7940986
Cầu Băng Ky,106.6985355,10.8182453,106.6989116,10.8184238
Cầu Bến Cát,106.6652403,10.8614957,106.6653095,10.8614424
Cầu Bến Cát 1,106.6642282,10.8615207,106.6653693,10.8615229
Cầu Calmette,106.6998985,10.7671805,106.700715,10.7645089
Cầu Chà Và,106.6601636,10.750294,106.6603921,10.7487665
Cầu Chánh Hưng,106.6689199,10.7460556,106.668879,10.7416454
Cầu Chợ Cầu 1,106.6378814,10.8457909,106.6353191,10.8474862
Cầu Chữ Y,106.6836257,10.7509485,106.6842501,10.7536129
Cầu Cá Trê Lớn,106.7323124,10.7780689,106.7347388,10.7793052
Cầu Công Lý,106.6825988,10.7910679,106.681367,10.7921893
Cầu Cả Cấm,106.7257177,10.7225313,106.7249535,10.723735
Cầu Him Lam,106.6937024,10.7405245,106.6949897,10.7407629
Cầu Hiệp Ân 2,106.6613572,10.7433356,106.6616795,10.7433941
Cầu Hoàng Hoa Thám,106.693204,10.7946727,106.6927968,10.7958364
Cầu Kênh 2,106.7248969,10.7745747,106.7240549,10.7742939
Cầu Kênh B,106.5384069,10.7447939,106.5386627,10.7446677
Cầu Kênh Tẻ,106.7024382,10.7492889,106.7019835,10.754992
Cầu Kênh Xáng,106.6885411,10.7413597,106.6884693,10.7415302
Cầu Kỳ Hà 4,106.7606269,10.7559963,106.7597266,10.7550762
Cầu Lê Văn Sỹ,106.6815175,10.785862,106.6810825,10.7861078
Cầu Nguyễn Văn Cừ,106.6871934,10.7527375,106.6883922,10.7541132
Cầu Phú An,106.7131767,10.7923372,106.7134711,10.792197
Cầu Phú Mỹ,106.7400366,10.7428358,106.7441554,10.7449386
Cầu Phú Mỹ,106.7441554,10.7449386,106.7484952,10.7469406
Cầu Phú Mỹ,106.7484952,10.7469406,106.7527933,10.7490341
Cầu Phú Mỹ,106.7483935,10.7470262,106.7441524,10.7450815
Cầu Phú Mỹ,106.7441524,10.7450815,106.7279543,10.7347762
Cầu Phú Mỹ,106.7271372,10.7342194,106.7344584,10.7399509
Cầu Phước Long,106.7265583,10.703606,106.7247561,10.7028333
Cầu Rạch Chiếc 1,106.7563406,10.8099607,106.7575697,10.815571
Cầu Rạch Chiếc 2,106.7570201,10.8139606,106.7562309,10.8099928
Cầu Rạch Lăng,106.6983165,10.821591,106.6992827,10.8218467
Cầu Sài Gòn 1,106.7319201,10.7997621,106.7225975,10.7981356
Cầu Sài Gòn 2,106.7250464,10.7983208,106.728642,10.7988988
Cầu Sài Gòn 2,106.728642,10.7988988,106.7320752,10.7994998
Cầu Sơn,106.7115254,10.8055396,106.7115501,10.805844
Cầu Số 2,106.661654,10.7916133,106.6616367,10.7915741
Cầu Số 7,106.6710981,10.7879997,106.6711168,10.7880524
Cầu Tham Lương,106.6275189,10.8249297,106.6277019,10.8251111
Cầu Thanh Lộc,106.6696497,10.8608943,106.6698521,10.8610728
Cầu Thầy Tiêu,106.716972,10.7289172,106.7153476,10.7294379
Cầu Thị Nghè,106.7058445,10.7910523,106.707195,10.7924505
Cầu Thị Nghè 2,106.7093873,10.7875007,106.7096016,10.7876817
Cầu Thủ Thiêm,106.7192073,10.7844433,106.7177091,10.7874118
Cầu Trường Đai,106.6505875,10.8600761,106.650645,10.860121
Cầu Trần Quang Diệu,106.6784372,10.7843732,106.6784372,10.7843732
Cầu Tân Thuận 2,106.7224037,10.7537495,106.7224037,10.7537495
Cầu Tư Dinh,106.6980017,10.728864,106.6963878,10.728815
Cầu Văn Thánh,106.7165178,10.8003961,106.716054,10.8006159
Cầu Văn Thánh 2,106.7121753,10.7894924,106.7138262,10.7892164
Cầu Vĩnh Bình,106.7160636,10.8684531,106.7161334,10.8684713
Cầu cụt,106.6556187,10.8552658,106.655734,10.8551425
Cầu vượt An Sương,106.6149893,10.8423388,106.6172944,10.8445156
Cầu vượt Bình Phước,106.7238705,10.8653758,106.7227673,10.8648149
Cầu vượt Cây Gõ,106.6400826,10.7544547,106.6457375,10.7538631
Cầu vượt Cộng Hòa - Hoàng Hoa Thám,106.6450548,10.8020955,106.6479549,10.8017925
Cầu vượt Hàng Xanh,106.7109178,10.801349,106.7109087,10.8014241
Cầu vượt Linh Xuân,106.766864,10.8727455,106.7634192,10.8739107
Cầu vượt Lý Thái Tổ - Nguyễn Tri Phương,106.6652083,10.7666392,106.6699972,10.7692426
Cầu vượt Lý Thái Tổ - Nguyễn Tri Phương,106.6699972,10.7692426,106.667887,10.7681372
Cầu vượt Nguyễn Hữu Cảnh,106.7237951,10.7976427,106.7205235,10.7976579
Cầu vượt Ngã Sáu Gò Vấp,106.6792404,10.8280378,106.6798526,10.8260016
Cầu vượt Ngã Tư Ga,106.6803378,10.8629755,106.6799122,10.8591758
Cầu vượt Ngã tư Gò Dưa,106.7329016,10.8708511,106.73325,10.8717994
Cầu vượt Ngã tư Gò Mây,106.6017747,10.819436,106.6004668,10.8133227
Cầu vượt Ngã tư Hàng Xanh,106.7098827,10.8012395,106.7094146,10.8010524
Cầu vượt Ngã tư Thủ Đức,106.7747696,10.8499117,106.7730798,10.8478386
Cầu vượt Quang Trung,106.6314235,10.8502095,106.627222,10.8509611
Cầu vượt Sóng Thần 1,106.7511683,10.8753473,106.7515008,10.8754506
Cầu vượt Thủ Thiêm,106.716779,10.7890182,106.7150911,10.7891973
Cầu vượt Thủ Đức,106.7959178,10.8620872,106.7945633,10.8622393
Cầu vượt Trạm 2,106.7958668,10.8618381,106.795148,10.8607361
Cầu vượt Tân Thới Hiệp,106.6511715,10.8621176,106.6499973,10.8620995
Cầu Ðiện Biên Phủ,106.7005728,10.7935904,106.70102,10.7937716
Cầu Ông Dầu,106.7139796,10.8347246,106.7139479,10.8350834
Cầu Ông Đội,106.7312623,10.713383,106.7312577,10.7135062
Cầu Đen 2,106.7334642,10.7994405,106.7334573,10.7997398
Cống Quỳnh,106.6905496,10.7635026,106.688366,10.7666744
Cộng Hòa,106.6348128,10.8073797,106.6600301,10.8009238
Cộng Hòa,106.6600301,10.8009238,106.6509196,10.8016842
Cộng Hòa,106.6509196,10.8016842,106.6376734,10.8041993
D1,106.8011838,10.8488982,106.8008695,10.8492092
D2,106.8033886,10.8291371,106.8037053,10.8294096
Dương Bá Cung,106.6230902,10.7452866,106.6230775,10.7452699
Dương Bá Trạc,106.688839,10.7440266,106.6884045,10.7415004
Dương Thị Mười,106.6368278,10.8703305,106.6368738,10.8704226
Dương Văn Cam,106.7534794,10.8495638,106.7536678,10.8494184
Dường An Phú,106.6900349,10.83809,106.6820873,10.852303
Dạ Nam,106.686888,10.7536606,106.6869589,10.7531123
Dồng Tâm,106.6107839,10.8630927,106.6104704,10.8632256
Gò Dưa,106.73608,10.8691182,106.7267906,10.8665765
Hai Bà Trưng,106.7060815,10.7756896,106.6874653,10.7914566
Hai Bà Trưng,106.6871714,10.7916908,106.6989225,10.7821327
Hai Bà Trưng,106.6989225,10.7821327,106.6919402,10.78789
Hai Bà Trưng,106.6919402,10.78789,106.6864092,10.7922848
Hem 3m,106.6641842,10.7908008,106.6642609,10.7907633
Hiền Vương,106.6249308,10.7817224,106.6241211,10.7821668
Hiệp Bình,106.7327377,10.8374629,106.7284891,10.8450502
Hoà Bình,106.6355415,10.7696068,106.6421803,10.7667998
Hoà Hưng,106.6712231,10.7780404,106.676489,10.7800043
Hoà Hảo,106.6590053,10.7597892,106.6617195,10.7603765
Hoàng Diệu,106.6985617,10.7596225,106.6987767,10.7597771
Hoàng Hoa Thám,106.6470466,10.797138,106.6923844,10.8031077
Hoàng Minh Giám,106.6768879,10.8123044,106.6736261,10.80837
Hoàng Sa,106.659131,10.7931923,106.7005738,10.792888
Hoàng Sĩ Khải,106.64357,10.7390302,106.6427235,10.7384808
Hoàng Văn Thụ,106.6668173,10.800283,106.6535674,10.7932413
Hoàng Văn Thụ,106.6535674,10.7932413,106.666894,10.8002745
Hoàng Văn Thụ,106.666894,10.8002745,106.6717039,10.7999007
Hoàng Văn Thụ,106.6710835,10.7999559,106.6676731,10.8002636
Huỳnh Mẫn Đạt,106.6773307,10.7518689,106.6757437,10.758139
Huỳnh Thiện Lộc,106.6363843,10.7803932,106.6401733,10.7789563
Huỳnh Tấn Phát,106.753584,10.6783267,106.7282216,10.7525133
Huỳnh Văn Bánh,106.681914,10.7958652,106.6716163,10.7918192
Hà Huy Giáp,106.6798911,10.8589939,106.6768789,10.8717216
Hà Huy Giáp,106.6769479,10.8706967,106.6812882,10.8846445
Hà Huy Giáp,106.6812882,10.8846445,106.679258,10.8671779
Hàm Nghi,106.6991751,10.7711901,106.7059931,10.770794
Hàn Hải Nguyên,106.6492826,10.7579867,106.6457587,10.7582635
Hàn Hải Nguyên,106.6457587,10.7582635,106.648904,10.7580428
Hòa Bình,106.6353005,10.7695756,106.6257843,10.7723027
Hòa Bình,106.6238934,10.7728903,106.6229767,10.7731687
Hòa Hảo,106.66843,10.761856,106.66843,10.761856
Hùng Vương,106.678648,10.763637,106.6702787,10.7581844
Hùng Vương,106.6702787,10.7581844,106.666373,10.7562461
Hưng Nhơn,106.5856745,10.7159649,106.5985988,10.7117174
Hưng Phú,106.6682445,10.7461296,106.6689261,10.7462542
Hương Lộ 2,106.6211738,10.7735855,106.6212579,10.773618
Hương lộ 10,106.5406723,10.6817688,106.5412694,10.681336
Hương lộ 8,106.5406723,10.6817688,106.5444885,10.6828162
Hương lộ 8,106.5444885,10.6828162,106.550446,10.6844568
Hải Thượng Lãn Ông,106.6545334,10.7507545,106.6601575,10.7504376
Hải Thượng Lãn Ông,106.6601575,10.7504376,106.6593065,10.7507744
Hầm chui An Sương - N1,106.6149367,10.843311,106.6138112,10.8450745
Hầm chui Mỹ Thủy,106.7752086,10.7698762,106.775235,10.7698083
Hầm sông Sài Gòn,106.7031455,10.76834,106.7033248,10.7684374
Hậu Giang,106.6239247,10.7453991,106.6240715,10.745339
Hẻm 1129 Lạc Long Quân,106.6518377,10.7897093,106.6520158,10.7896403
Hẻm 131 Tô Hiến Thành,106.6698201,10.7808937,106.6704423,10.7793615
Hẻm 200C Xóm Chiếu,106.7100356,10.7550068,106.710014,10.7550302
Hẻm 246/64 Hòa Hưng,106.670628,10.7789044,106.6707568,10.7785872
Hẻm 297 Lý Thường Kiệt,106.656462,10.7765701,106.6563765,10.7765446
Hẻm 312 Kinh Dương Vương,106.6207621,10.7433547,106.6207225,10.7433184
Hẻm 322 Hòa Hưng,106.6710033,10.7779568,106.6707568,10.7785872
Hẻm 341 Khuông Việt,106.6376979,10.7693434,106.6410076,10.7719922
Hẻm 341 Lạc Long Quân,106.6405885,10.7691266,106.6414568,10.7684973
Hẻm 373 Lý Thường Kiệt,106.6503541,10.7790549,106.6539968,10.7799875
Hẻm 373 Lý Thường Kiệt,106.654269,10.7801804,106.6547735,10.7803895
Hẻm 416 Lạc Long Quân,106.6444644,10.7697921,106.6445026,10.7697654
Hẻm 5 Hạnh Thông,106.6800719,10.8265194,106.6792437,10.8280713
Hẻm 504 Kinh Dương Vương,106.6147828,10.7379148,106.6146944,10.7377688
Hẻm 506 Lạc Long Quân,106.6460379,10.7711649,106.6472103,10.7705706
Hẻm 574 Kinh Dương Vương,106.6096162,10.7321249,106.6109526,10.731368
Hẻm 602 Điện Biên Phủ,106.7178735,10.7987712,106.7178674,10.7986979
Hẻm 68 Trần Quang Khải,106.6936394,10.792788,106.6935778,10.7932473
Hẻm 84A Trần Hữu Trang,106.6724314,10.79358,106.6717593,10.7938991
Hẻm 86 Ông Ích Khiêm,106.6449394,10.7661735,106.6468344,10.7696411
Hẻm 86 Ông Ích Khiêm,106.647032,10.7699913,106.6471393,10.7702268
Hẻm 92 Vũ Huy Tấn,106.6927968,10.7958364,106.6925024,10.7973608
Hẻm 995 Hồng Bàng,106.636522,10.7546298,106.6365345,10.7543494
Hẻm Số 354,106.6582765,10.775411,106.6584192,10.7755941
Học Lạc,106.6544294,10.7519423,106.6544546,10.7516397
Hồ Chí Minh - Trung Lương,106.5896523,10.6887747,106.5930448,10.6894658
Hồ Hảo Hớn,106.6940131,10.7598239,106.6908753,10.763051
Hồ Văn Huê,106.677625,10.8045481,106.6781072,10.8054457
Hồ Văn Long,106.6005932,10.8253843,106.600561,10.8252537
Hồ Xuân Hương,106.6864011,10.7752936,106.6867311,10.7756788
Hồng Bàng,106.65443,10.75373,106.6634172,10.7554182
Hồng Bàng,106.6634172,10.7554182,106.6603376,10.7550108
Hồng Bàng,106.6603376,10.7550108,106.6530134,10.7534697
Hồng Bàng,106.6530134,10.7534697,106.6478806,10.753623
Hồng Bàng,106.6478806,10.753623,106.6507117,10.7533034
Hồng Hà,106.6652599,10.8134061,106.6747486,10.8140069
Hồng Hà,106.6747486,10.8140069,106.6758031,10.8142573
Hồng Lạc,106.6465073,10.7879176,106.6464872,10.7879756
Kha Vạn Cân,106.7153558,10.8270992,106.7545053,10.8504341
Kha Vạn Cân,106.7545053,10.8504341,106.725621,10.8319797
Kha Vạn Cân,106.725621,10.8319797,106.7463168,10.8413672
Kha Vạn Cân,106.7466044,10.8416342,106.7531191,10.8487665
Khuông Việt,106.6433121,10.7813924,106.6398819,10.7770894
Khánh Hội,106.6977387,10.7606879,106.7008416,10.7565916
Kinh Dương Vương,106.6235109,10.7455465,106.6071858,10.7282004
Kinh Dương Vương,106.6071858,10.7282004,106.6050773,10.7265851
Kinh Trung ương,106.5554753,10.7909507,106.5554064,10.7910811
Kênh 10,106.5725739,10.708894,106.5725888,10.7087587
Kênh Nước Đen,106.6172503,10.7884223,106.6166971,10.7881979
Kênh Tân Hoá,106.6355574,10.7693744,106.6399809,10.7786413
Linh Đông,106.7438406,10.8415361,106.7438406,10.8415361
Liên Xã,106.5839509,10.8884699,106.5840148,10.8885006
Lãnh Binh Thăng,106.6464629,10.7653269,106.6503161,10.7632537
Lãnh Binh Thăng,106.6504197,10.7631981,106.65559,10.7622847
Lãnh Binh Thăng,106.65559,10.7622847,106.6545324,10.7623992
Lê Duẩn,106.7035568,10.7857663,106.6984806,10.7803753
Lê Hoàng Phái,106.6753185,10.8428373,106.6754115,10.8395688
Lê Hồng Phong,106.6752404,10.765331,106.676833,10.761133
Lê Hồng Phong,106.6770991,10.760492,106.6749228,10.7663147
Lê Hồng Phong,106.6749228,10.7663147,106.6752055,10.7654291
Lê Khôi,106.6288442,10.7821969,106.6280309,10.779782
Lê Lai,106.6941287,10.7700912,106.6902339,10.76857
Lê Lợi,106.6990769,10.7722079,106.6999404,10.7732655
Lê Minh Xuân,106.651613,10.786231,106.6560086,10.7874965
Lê Quang Sung,106.6528193,10.7510631,106.6528193,10.7510631
Lê Quang Định,106.698423,10.802988,106.6894367,10.820498
Lê Quý Đôn,106.8004621,10.8838307,106.8015806,10.8810953
Lê Qúy Đôn,106.800583,10.8832727,106.800583,10.8832727
Lê Thánh Tôn,106.6995607,10.7746928,106.6990287,10.7740594
Lê Thị Hà,106.5981184,10.887776,106.5982675,10.8865251
Lê Trọng Tấn,106.621088,10.8077236,106.6156148,10.809165
Lê Tuấn Mậu,106.625679,10.7490204,106.6267106,10.7482606
Lê Văn Chí,106.7816929,10.8660484,106.7739597,10.8504219
Lê Văn Khương,106.6498425,10.8619111,106.6494524,10.8621838
Lê Văn Lương,106.7024735,10.6893503,106.7037515,10.7410217
Lê Văn Ninh,106.7547163,10.8510377,106.7534794,10.8495638
Lê Văn Quới,106.6215672,10.7735866,106.6093332,10.7762952
Lê Văn Qưới,106.6087456,10.7763027,106.6028052,10.7763962
Lê Văn Sỹ,106.67201,10.7915356,106.6656372,10.7962369
Lê Văn Sỹ,106.6645994,10.7970292,106.675853,10.7889674
Lê Văn Sỹ,106.6753896,10.7892124,106.6609346,10.800243
Lê Văn Thịnh,106.7657368,10.7765916,106.7659642,10.7769125
Lê Văn Thọ,106.6583227,10.8365053,106.658324,10.8364665
Lê Văn Tách,106.7542735,10.8761169,106.7609261,10.8783778
Lê Văn Việt,106.7744207,10.8486663,106.774693,10.8484707
Lê Đại Hành,106.6592488,10.7587163,106.6543476,10.766178
Lê Đại Hành,106.6543476,10.766178,106.6551501,10.7648499
Lê Đại Hành,106.6551501,10.7648499,106.6568351,10.7626323
Lê Đức Thọ,106.655946,10.8548517,106.6599389,10.8527915
Lê Đức Thọ,106.6622383,10.8515063,106.6693689,10.8472382
Lê Đức Thọ,106.6693689,10.8472382,106.6753185,10.8428373
Lê Đức Thọ,106.6753185,10.8428373,106.6496727,10.8625349
Lê Đức Thọ,106.680097,10.8385342,106.6787279,10.8404489
Lê Đức Thọ,106.6791366,10.8398015,106.6499071,10.8610348
Lý Chiêu Hoàng,106.6337742,10.7359493,106.633682,10.7359829
Lý Chính Thắng,106.6820441,10.7792426,106.6850959,10.788335
Lý Chính Thắng,106.6850959,10.788335,106.6851801,10.7885356
Lý Thái Tổ,106.6740246,10.7677425,106.6770101,10.7669304
Lý Thái Tổ,106.6770101,10.7669304,106.7956925,10.7461614
Lý Thái Tổ,106.7956925,10.7461614,106.8027109,10.7443127
Lý Thái Tổ,106.8044591,10.7438421,106.8141974,10.7376092
Lý Thái Tổ,106.8141974,10.7376092,106.6763647,10.7670409
Lý Thái Tổ,106.6763647,10.7670409,106.8238056,10.7312283
Lý Thái Tổ,106.8200297,10.7333357,106.6723696,10.7677321
Lý Thái Tổ,106.6723696,10.7677321,106.6741538,10.7676423
Lý Thường Kiệt,106.5896647,10.8866826,106.6565902,10.7757808
Lý Thường Kiệt,106.6565902,10.7757808,106.6588507,10.7677013
Lý Thường Kiệt,106.6588507,10.7677013,106.6612178,10.7592404
Lý Thường Kiệt,106.6612178,10.7592404,106.6618976,10.7571594
Lý Thường Kiệt,106.6618976,10.7571594,106.6595662,10.765485
Lý Thường Kiệt,106.6595662,10.765485,106.6572154,10.7738791
